;;;;;
;; RESULTADO DE JULGAMENTO - PROPOSTAS  APROVADAS PARA CONTRATAÇÃO;;;
;;Edital 21/2008 - Programa Primeiros Projetos;;;
;;;;;
ATENÇÃO : Todas as instituições que tiverem propostas aprovadas deverão atualizar seu credenciamento na FAPEMIG até 10 dias corridos da publicação dos resultados, sob pena de desclassificação das propostas.  A situação cadastral das instituições poderá ser verificada no endereço : http://www.fapemig.br/cadastro/;;;;;
;;;;;
;;;;;
;;;;;
#;PROC.;COORDENADOR;TÍTULO;INSTITUIÇÃO; VALOR 
83; APQ-00538-09; Jair Adriano Kopke De Aguiar; Biodiversidade E Proteoglicanos: Novas Fontes De Fármacos E Alvos Para Tratamento De Neoplasias.; UFJF;24.675,00
84; APQ-00543-09; Genelicio Crusoe Rocha; Dinâmica Do Nitrato E Da Água Em Solo Cultivado Com Café, Com Vistas À Avaliação De Impacto Ambiental; UFV;26.403,30
85; APQ-00546-09; Kétia Soares Moreira; Estudo Do “Efeito Lombard” Na Reprodução Automática De Comandos Por Meio Da Leitura Labial Automática; UFV;19.530,00
86; APQ-00558-09; Michele Conceição Pereira; Avaliação Da Atividade Citotóxica Da Proteína Catiônica Eosinofílica Em Linhagens Celulares Derivadas De Carcinomas Espinocelulares Bucais Humanos; UFSJ;25.830,00
87; APQ-00560-09; Denilson Santos De Azevedo; A Instalação E Constituição Do Grupo Escolar Nas Cidades De Muriaé E Ponte Nova (1907 - 1930): Análise De Acervo E Memórias; UFV;16.436,29
88; APQ-00561-09; Felipe Raúl Ponce Arrieta; Interface Computacional Para O Diagnóstico Da Performance Térmica De Turbinas A Gás Industriais; PUC-MINAS;27.195,00
89; APQ-00564-09; Alcinéia De Lemos Souza Ramos; Substituição De Hidrocolóides Por Soro De Leite Flúido Enriquecido Com Lactulose Na Elaboração De Apresuntados; CEFET/RIO POMBA;24.421,11
90; APQ-00566-09; Leonardo Chaves Dutra Da Rocha; Modelos E Algoritmos Temporais Para Aplicações Web; UFSJ;27.460,21
91; APQ-00567-09; Geraldo Browne Ribeiro Filho; Modernização Administrativa Dos Municípios Mineiros: O Papel Do Departamento De Administração Municipal; UFV;9.233,50
92; APQ-00573-09; Bruno Otavio Soares Teixeira; Projeto E Desenvolvimento De Sistemas De Navegação Integrada Para Veículos Aéreos E Terrestres; UFMG;29.914,74
93; APQ-00574-09; Maria Teresa Gonzaga Alves; Composição Do Alunado E Desempenho Da Educação Básica Em Minas Gerais; UFOP;14.968,45
94; APQ-00581-09; Douglas Riff Gonçalves; Sistemática E Biogeografia Dos Crocodylomorpha Sul-Americanos Com Ênfase Nas Faunas Cretácicas E Terciárias; UFU;28.420,22
95; APQ-00585-09; Amanda Castro Oliveira; Algoritmos Quânticos - Análise E Desenvolvimento; UFLA;12.981,03
96; APQ-00592-09; Flávia Cristina Dos Santos; Desenvolvimento De Fertilizante “Biorreativo” E De Bioinoculante Para Melhoria Da Eficiência Do Uso De Fósforo Na Cultura Do Milho; EMBRAPA-CNPMS;22.438,50
97; APQ-00596-09; Walison Arthuso Vasconcellos; Estudo Da Incorporação E Liberação De Própolis A Cimentos Ionoméricos Aplicados A Proteção Pulpar; UFVJM;27.405,00
98; APQ-00602-09; Daniela Caldeira Costa; Avaliação Do Efeito De Baccharis Trimera Sobre A Produção De Espécies Reativas De Oxigênio (Eros) E Óxido Nítrico (No) Em Granulócitos De Ratos Fischer.; UFOP;22.885,80
99; APQ-00611-09; Emilio Borges; Desenvolvimento De Técnicas De Inteligência Artificial Para A Resolução De Problemas Inversos Mal Colocados Em Planejamento Radioterápico, Cinética Química E Microbiológica.; UNEC;28.350,00
100; APQ-00627-09; Wânia Terezinha Ladeira; A Organização Interacional Em Um Escola Pública Da Periferia De Viçosa-Mg: Uma Análise Da Estrutura De Participação E Formatos De Produção Em Sala De Aula; UFV;9.592,88
101; APQ-00635-09; Jair Pereira Da Cunha Junior; Avaliação Da Resposta Imune De Camundongos C57Bl/6 À Imunização Com Antígenos Recombinantes Bsr4 E Sag2A De Toxoplasma Gondii Incorporados Em Lipossomas; UFU;28.530,60
102; APQ-00636-09; Lilian Vilela Andrade Pinto; Resposta De Diferentes Espaçamentos Do Capim Vetiver (Vetiveria Zizanioides (L.) Nash.) Na Contenção De Perdas De Solo Por Erosão De Encosta; EAFI;21.321,83
103; APQ-00637-09; Fabyano Fonseca E Silva; Análise De Qtl Para Dados Longitudinais De Crescimento Em Suínos; UFV;8.975,87
104; APQ-00638-09; Juliana Santini; Espaços, Sentidos: Transculturação E Regionalismo Na Prosa Brasileira Contemporânea; UFU;11.889,90
105; APQ-00642-09; Luciano Bueno Dos Reis; Influência Do Etileno E Diversos Reguladores De Crescimento Na Germinação In Vitro E Embriogênese Somática De Acrocomia Aculeata (Jacq.) Lodd. Ex Mart.; UFV;28.881,30
106; APQ-00656-09; Angela Maria Soares; Dinâmica Hídrica E A Recarga Dos Aquíferos Na Bacia Do Alto E Médio Curso Do Rio Uberabinha Em Minas Gerais; FCU-SUCEUB;22.294,99
107; APQ-00659-09; Ricardo Carlos Gomes; A Arte Do Ator Entre Oriente E Ocidente; UFOP;18.900,00
108; APQ-00666-09; Milton Taidi Sonoda; Estrutura E Dinâmica De Líquidos Em Sistemas Confinados E Interfaciais; UFU;24.675,00
109; APQ-00669-09; Heloisa Helena Mithie Della Colleta; Biocompósito De Nanotubos De Carbono E Gel De Colágeno: Caracterização Da Biocompatibilidade E Da Biofuncionalidade; UFMG;21.489,72
110; APQ-00671-09; Kátia Cecília De Souza Figueiredo; Preparo E Caracterização De Nanopartículas Poliméricas Para A Aplicação Em Dispositivos De Liberação Controlada De Drogas; UFV;22.142,40
111; APQ-00674-09; Helena Maria Dos Santos Felício; A Relação Entre Escola De Tempo Integral E Educação Integral Em Minas Gerais: Uma Análise A Partir Dos Indicadores Da Escola; UNIFAL -MG;11.933,39
112; APQ-00675-09; Renata Toscano Simões; Expressão De Hla-G Em Carcinoma De Células Escamosas De Boca Segundo O Polimorfismo Da Região 3’Utr Do Gene; ISCM - BH;25.070,75
113; APQ-00677-09; Humberto Vieira Fajardo; Preparação E Caracterização De Materiais Nanoestruturados Com Propriedades Catalíticas Aplicadas Nos Processos De Reforma A Seco E Decomposição Do Gás Natural Para Produção De Hidrogênio E Gás De Síntese; UFOP;26.827,50
114; APQ-00680-09; Anete Pedro Lourenço; Espectro E Qualidade Do Pólen Coletado Pelas Abelhas Apis Melliferas Em Área De Campo Rupestre Da Região De Diamantina (Mg); UFVJM;18.781,14
